plata_name	seed_id
Dextrin	cpd11594
Maltose	cpd00179
D-Trehalose	cpd00794
D-Cellobiose	cpd03845
Gentiobiose	cpd05158
Sucrose	cpd00076
Stachyose	cpd01133
D-Raffinose	cpd00382
a-D-Lactose	cpd00208
D-Melibiose	cpd03198
b-Methyl-D-Glucoside	cpd15584
Salicin	cpd01030
N-Acetyl-DGlucosamine	cpd00122
N-Acetyl-b-D-Mannosamine	cpd00492
N-Acetyl-DGalactosamine	cpd03019
N-Acetyl-Neuraminic Acid	cpd00232
a-D-Glucose	cpd19001
D-Mannose	cpd00138
D-Fructose	cpd00082
D-Galactose	cpd00709
D-Fucose	cpd00750
L-Fucose	cpd00751
L-Rhamnose	cpd00396
Inosine	cpd00246
D-Sorbitol	cpd00588
D-Mannitol	cpd00314
D-Arabitol	cpd01307
M-Inositol	cpd00121
Glycerol	cpd00100
Glucose-6-Phosphate	cpd00079
Fructose-6-Phosphate	cpd00072
D-Aspartic Acid	cpd00320
D-Serine	cpd00550
Gelatin	NA
L-Alanine	cpd00035
L-Arginine	cpd00051
L-Aspartic Acid	cpd00041
L-Glutamic Acid	cpd00023
L-Histidine	cpd00119
L-PyroglutamicAcid	cpd01293
L-Serine	cpd00054
Pectin	NA
D-GalacturonicAcid	cpd00280
L-GalactonicAcid-g-Lactone	cpd00765
D-Gluconic Acid	cpd00222
D-GlucuronicAcid	cpd05264
Mucic Acid	cpd00652
Quinic Acid	cpd00248
D-Saccharic Acid	cpd00609
P-HydroxyPhenyl AceticAcid	cpd00489
L-Lactic Acid	cpd00159
Citric Acid	cpd00137
a-Keto-GlutaricAcid	cpd00024
D-Malic Acid	cpd00386
L-Malic Acid	cpd00130
g-Amino-ButyricAcid	cpd00281
a-HydroxyButyric Acid	cpd03561
a-Keto-ButyricAcid	cpd00094
Acetoacetic Acid	cpd00142
Propionic Acid	cpd00141
Acetic Acid	cpd00029
Formic Acid	cpd00047
